Bingham Canyon Mine production data (8 header lines),,,,,,,
see: https://en.wikipedia.org/wiki/Bingham_Canyon_Mine,,,,,,,
This data file is from...,,,,,,,
"Krahulec, K. (2018). PRODUCTION HISTORY OF THE BINGHAM MINING DISTRICT, SALT LAKE COUNTY, UTAH: AN UPDATE. DOI: 10.13140/RG.2.2.28618.00966",,,,,,,
https://www.researchgate.net/publication/328676854_Production_history_of_the_Bingham_mining_district_Salt_Lake_County_Utah_-_an_update,,,,,,,
"1 short ton (US ton) = 0.907185 tons (metric, i.e. 1000 kg)",,,,,,,
APPENDIX,,,,,,,
Year,Ore_Short_Tons,Waste_Short_Tons,Waste:Ore_Ratio,Copper_Short_Tons,Molybdenum_Short_Tons,Gold_kOunces,Silver_kOunces
1905,216769,,,2814,,2,17
1906,231125,,,2713,,2,16
1907,183569,768675,4,2100,,1,11
1908,2422064,2773279,1,28448,,20,182
1909,2674271,3170478,1,27236,,21,221
1910,4340245,5846265,1,44510,,40,424
1911,4680801,11320905,2,49218,,40,408
1912,5315321,9713232,2,48088,,34,346
1913,7519392,10043290,1,59970,,28,317
1914,6470166,11857252,2,60890,,35,362
1915,8494300,12381759,1,78094,,37,413
1916,10994000,12278092,1,98365,,46,506
1917,12542000,8872670,1,102428,,49,537
1918,12160700,8441117,1,97084,,49,520
1919,5538700,4284666,1,54617,,29,293
1920,5556800,6102847,1,52308,,27,286
1921,1220700,737815,1,12415,,7,73
1922,4364251,2288341,1,43922,,28,286
1923,11167800,5227861,0,101493,,73,701
1924,12126600,12949912,1,111762,,77,725
1925,12538300,16488080,1,111489,,78,770
1926,13880100,17932338,1,122013,,86,845
1927,13811500,15149189,1,120482,,89,884
1928,16558500,14996011,1,140539,,104,1019
1929,17724100,19821357,1,151007,,116,1167
1930,9552500,13846715,1,82722,,64,626
1931,8147764,10180181,1,71378,,54,535
1932,3169411,3650930,1,28739,,25,247
1933,3521425,3362061,1,33661,,35,347
1934,4086800,4981560,1,39473,,44,373
1935,6529800,7483981,1,58397,,68,597
1936,13773900,14859346,1,121609,272,117,1057
1937,23119800,28292291,1,204384,2454,202,1912
1938,11704900,18617345,2,100786,1616,98,910
1939,19310200,23111402,1,165836,3091,159,1494
1940,25950500,30884201,1,225326,4292,223,2103
1941,30090400,38380432,1,263150,4717,242,2251
1942,33093200,39716089,1,291311,5622,287,2627
1943,35375800,41308996,1,309613,5885,306,2822
1944,29274200,32962007,1,262791,5789,284,2487
1945,23361000,29002916,1,213564,5154,228,2029
1946,11831400,13776826,1,106419,2727,131,1163
1947,28539300,34359084,1,256355,6933,364,2969
1948,24454000,33480555,1,220667,5601,312,2622
1949,20922300,26581965,1,190790,5028,268,2215
1950,31037800,41344160,1,274786,7344,413,3290
1951,30444800,46551516,2,268971,6945,391,3156
1952,32036100,46910576,1,277773,8042,403,3279
1953,29922200,49291904,2,259824,8630,442,3410
1954,24079400,35856641,1,205619,6683,361,2598
1955,27740600,45710091,2,226589,7651,397,2923
1956,32321100,55209730,2,245714,7650,379,2924
1957,30919900,52341056,2,232290,6650,353,2867
1958,24086800,39045654,2,182305,5458,280,2143
1959,19673100,32300481,2,147311,4456,224,1749
1960,28060300,49221324,2,209546,6411,352,2624
1961,27839700,51242919,2,203947,6164,324,2428
1962,29175000,54454286,2,202636,6112,299,2412
1963,26235400,51199296,2,182738,5256,254,2122
1964,24456400,57497136,2,174638,5229,243,1939
1965,32088900,84116298,3,229639,7567,373,2909
1966,33477700,66304900,2,219559,7060,364,2885
1967,20789600,35532965,2,136086,4524,213,1638
1968,28343900,68786040,2,175172,5358,265,2250
1969,38650300,90028957,2,240963,7170,379,3194
1970,40147500,100195997,3,245298,7634,355,2904
1971,35008400,88614573,3,213306,6192,308,2600
1972,34951700,92452181,3,210714,6746,318,2682
1973,38267600,104152836,3,215659,6405,310,2740
1974,35277300,107389674,3,194755,4628,255,2419
1975,27318000,97431089,4,146102,4029,185,1759
1976,29567100,113213082,4,158039,3226,168,1793
1977,32570800,113156461,3,176916,3425,187,1957
1978,35937700,115625007,3,190562,4860,219,2224
1979,37803900,123434500,3,195073,5106,226,2275
1980,31578500,99976515,3,157787,3665,174,1766
1981,39023500,134274849,3,199087,3785,209,2241
1982,36877600,118011880,3,193049,2560,177,2162
1983,33310200,90539931,3,172955,1828,206,2189
1984,21963700,33566100,2,124038,1703,145,1514
1985,2644200,2494350,1,16972,296,21,191
1986,444900,2086050,5,2207,6,3,29
1987,23447400,22446986,1,139431,2507,199,1788
1988,35041833,26688301,1,209906,949,305,2518
1989,40539798,37140938,1,245397,4654,507,3755
1990,41341940,51030720,1,252542,5739,420,3379
1991,42749228,52208453,1,253829,7714,459,3615
1992,54524742,46531639,1,310909,9529,532,4318
1993,56761080,44999718,1,331144,8988,515,4411
1994,59291955,50000000,1,335645,9620,510,4358
1995,56201713,56736900,1,332029,11908,525,4376
1996,56330004,59063400,1,322152,12308,615,4739
1997,58833000,70846600,1,336312,12208,603,4916
1998,57646600,83646933,1,328706,6981,366,4247
1999,62384260,103930355,2,307872,6981,367,3859
2000,64663123,105148397,2,325950,11122,529,3939
2001,53535161,122698884,2,343838,8937,592,4475
2002,44885696,119966099,3,286257,6671,412,3663
2003,50821879,94315851,2,309912,5091,305,3548
2004,50400000,92041110,2,290729,7490,308,3584
2005,51447060,103900000,2,243322,17199,401,3958
2006,60600000,102400000,2,292824,18522,523,4214
2007,52396000,104500000,2,233951,16427,397,3487
2008,54170000,115351000,2,262395,12821,368,3414
2009,58273740,124000000,2,334609,12446,582,4871
2010,68332332,142814574,2,275405,14222,466,3754
2011,68572914,143317390,2,214988,14994,284,2976
2012,48646393,161019561,3,179924,10322,200,2086
2013,50141265,192179984,4,232585,6284,207,2876
2014,46999102,177168866,4,225202,12679,260,2935
2015,38394409,189764259,5,101430,8379,131,1458
2016,36843000,162716449,4,168321,3086,153,1943
2017,51179337,155934170,3,164000,5500,178,2156
