dayOfYear,dN,datetime
32,0.33333,2020-02-01
33,0.33333,2020-02-02
34,0.33333,2020-02-03
35,0.0,2020-02-04
36,0.0,2020-02-05
37,0.0,2020-02-06
38,0.0,2020-02-07
39,0.0,2020-02-08
40,0.0,2020-02-09
41,0.33333,2020-02-10
42,0.33333,2020-02-11
43,0.33333,2020-02-12
44,0.0,2020-02-13
45,0.0,2020-02-14
46,0.0,2020-02-15
47,0.0,2020-02-16
48,0.0,2020-02-17
49,0.0,2020-02-18
50,0.0,2020-02-19
51,0.0,2020-02-20
52,0.0,2020-02-21
53,0.0,2020-02-22
54,0.0,2020-02-23
55,0.0,2020-02-24
56,0.33333,2020-02-25
57,2.33333,2020-02-26
58,5.0,2020-02-27
59,10.66667,2020-02-28
60,15.0,2020-02-29
61,21.66667,2020-03-01
62,33.66667,2020-03-02
63,46.0,2020-03-03
64,61.666669999999996,2020-03-04
65,70.66667,2020-03-05
66,113.0,2020-03-06
67,165.66666999999998,2020-03-07
68,248.66667,2020-03-08
69,332.0,2020-03-09
70,511.66667,2020-03-10
71,726.6666700000001,2020-03-11
72,966.66667,2020-03-12
73,1219.6666699999998,2020-03-13
74,1455.6666699999998,2020-03-14
75,1786.0,2020-03-15
76,1844.3333300000002,2020-03-16
77,2117.66667,2020-03-17
78,2634.33333,2020-03-18
79,3414.6666700000005,2020-03-19
80,4103.3333299999995,2020-03-20
81,4687.3333299999995,2020-03-21
82,4960.3333299999995,2020-03-22
83,4986.0,2020-03-23
84,5734.3333299999995,2020-03-24
85,6963.3333299999995,2020-03-25
86,8399.33333,2020-03-26
87,8896.0,2020-03-27
88,8793.0,2020-03-28
89,7949.6666700000005,2020-03-29
90,6827.0,2020-03-30
91,6794.0,2020-03-31
92,7123.6666700000005,2020-04-01
93,7713.6666700000005,2020-04-02
94,7422.6666700000005,2020-04-03
95,7172.6666700000005,2020-04-04
96,6489.3333299999995,2020-04-05
97,5287.6666700000005,2020-04-06
98,4803.0,2020-04-07
99,4819.6666700000005,2020-04-08
100,5512.3333299999995,2020-04-09
101,5288.3333299999995,2020-04-10
102,4944.0,2020-04-11
103,4328.6666700000005,2020-04-12
104,3826.3333299999995,2020-04-13
105,3348.33333,2020-04-14
106,3523.3333299999995,2020-04-15
107,3786.6666700000005,2020-04-16
108,4020.6666700000005,2020-04-17
109,3824.6666700000005,2020-04-18
110,2313.66667,2020-04-19
111,1780.3333300000002,2020-04-20
112,1485.3333300000002,2020-04-21
113,2493.66667,2020-04-22
114,2726.33333,2020-04-23
115,2447.33333,2020-04-24
116,2512.0,2020-04-25
117,2087.0,2020-04-26
118,1935.6666699999998,2020-04-27
119,1608.6666699999998,2020-04-28
120,1344.0,2020-04-29
121,1204.3333300000002,2020-04-30
122,1158.3333300000002,2020-05-01
123,1287.3333300000002,2020-05-02
124,1185.3333300000002,2020-05-03
125,878.33333,2020-05-04
126,813.3333299999999,2020-05-05
127,795.0,2020-05-06
128,946.66667,2020-05-07
129,991.33333,2020-05-08
130,945.66667,2020-05-09
131,1777.3333300000002,2020-05-10
132,1517.3333300000002,2020-05-11
133,1430.3333300000002,2020-05-12
134,438.0,2020-05-13
135,590.0,2020-05-14
136,643.6666700000001,2020-05-15
137,669.0,2020-05-16
138,603.3333299999999,2020-05-17
139,474.33333,2020-05-18
140,446.33333,2020-05-19
141,401.66667,2020-05-20
142,477.0,2020-05-21
143,929.0,2020-05-22
144,911.66667,2020-05-23
145,911.66667,2020-05-24
146,192.0,2020-05-25
147,323.0,2020-05-26
148,332.33333,2020-05-27
149,835.3333299999999,2020-05-28
150,768.3333299999999,2020-05-29
151,819.6666700000001,2020-05-30
152,507.66667,2020-05-31
153,358.0,2020-06-01
154,234.66667,2020-06-02
155,299.0,2020-06-03
156,340.66667,2020-06-04
157,348.66667,2020-06-05
158,328.0,2020-06-06
159,296.66667,2020-06-07
160,246.33333,2020-06-08
161,218.66667,2020-06-09
162,243.33333,2020-06-10
163,330.0,2020-06-11
164,414.33333,2020-06-12
165,441.66667,2020-06-13
166,407.0,2020-06-14
167,300.0,2020-06-15
168,241.0,2020-06-16
169,251.66667,2020-06-17
170,386.33333,2020-06-18
171,415.66667,2020-06-19
172,418.33333,2020-06-20
173,334.66667,2020-06-21
174,309.66667,2020-06-22
175,271.33333,2020-06-23
176,271.33333,2020-06-24
177,327.33333,2020-06-25
178,384.33333,2020-06-26
179,461.0,2020-06-27
180,428.0,2020-06-28
181,355.0,2020-06-29
182,267.33333,2020-06-30
