# gdpYear,gdpPerCapita
1960,3746.06
1961,3856.39
1962,3999.22
1963,4127.27
1964,4315.85
1965,4461.24
1966,4619.75
1967,4732.41
1968,4933.17
1969,5128.15
1970,5204.43
1971,5318.40
1972,5510.96
1973,5756.23
1974,5758.91
1975,5687.47
1976,5882.21
1977,6008.51
1978,6135.19
1979,6277.66
1980,6287.17
1981,6296.89
1982,6212.28
1983,6250.68
1984,6419.94
1985,6543.75
1986,6648.45
1987,6774.26
1988,6963.88
1989,7096.59
1990,7178.94
1991,7162.10
1992,7176.07
1993,7173.76
1994,7278.24
1995,7386.63
1996,7527.55
1997,7694.30
1998,7782.64
1999,7928.28
2000,8167.84
2001,8221.29
2002,8294.77
2003,8434.21
2004,8696.87
2005,8926.04
2006,9202.54
2007,9483.25
2008,9540.78
2009,9267.69
2010,9551.34
2011,9737.34
2012,9865.63
2013,10009.86
2014,10174.84
2015,10346.93
2016,10493.15
2017,10713.10
2018,10924.48
2019,11075.81
