Data file constructed by Rupert Sutherland from BP Statistical Review 2021,,,,
https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy.html,,,,
MMBL = million metric barrels (of petroleum liquid; 1 metric barrel is 0.159 cubic metres),,,,
Statistics are for total world,,,,
Year,Production (MMBL/day),Reserves (MMBL),Production (kMBL/day),Reserves (BMBL)
1980,62.942,682621,62942,683
1981,59.527,691142,59527,691
1982,57.271,722237,57271,722
1983,56.592,734139,56592,734
1984,57.640,746362,57640,746
1985,57.345,774256,57345,774
1986,60.176,879586,60176,880
1987,60.406,911106,60406,911
1988,62.840,999491,62840,999
1989,63.792,1000175,63792,1000
1990,65.022,1000906,65022,1001
1991,64.865,1072850,64865,1073
1992,65.704,1076857,65704,1077
1993,65.892,1076345,65892,1076
1994,66.877,1090158,66877,1090
1995,67.841,1098704,67841,1099
1996,69.478,1121254,69478,1121
1997,71.253,1149183,71253,1149
1998,73.017,1157627,73017,1158
1999,71.518,1280264,71518,1280
2000,74.543,1300924,74543,1301
2001,74.784,1307204,74784,1307
2002,73.999,1357077,73999,1357
2003,77.160,1358312,77160,1358
2004,80.837,1365269,80837,1365
2005,81.813,1372494,81813,1372
2006,82.561,1383266,82561,1383
2007,82.438,1418326,82438,1418
2008,83.115,1488895,83115,1489
2009,81.491,1530289,81491,1530
2010,83.293,1636887,83293,1637
2011,84.042,1674260,84042,1674
2012,86.255,1683567,86255,1684
2013,86.670,1691895,86670,1692
2014,88.834,1694437,88834,1694
2015,91.632,1683903,91632,1684
2016,91.989,1690281,91989,1690
2017,92.568,1728171,92568,1728
2018,94.852,1736144,94852,1736
2019,94.961,1734811,94961,1735
2020,88.391,1732366,88391,1732
