Time,PopTotal
2020,7794798.728999999
2021,7865623.935
2022,7932536.35
2023,7995991.2
2024,8056356.308999999
2025,8113912.16
2026,8168847.629
2027,8221263.549
2028,8271186.568
2029,8318588.917
2030,8363452.531
2031,8405835.434
2032,8445931.922
2033,8484096.027999999
2034,8520771.629
2035,8556281.332999999
2036,8590768.246
2037,8624178.311
2038,8656382.197999999
2039,8687153.623
2040,8716309.55
2041,8743819.865
2042,8769695.366
2043,8793831.822999999
2044,8816109.396
2045,8836426.116
2046,8854729.367
2047,8870980.61
2048,8885115.182
2049,8897069.562
2050,8906797.099
2051,8914275.923
2052,8919503.2
2053,8922481.953
2054,8923228.107
2055,8921766.4
2056,8918111.066
2057,8912300.36
2058,8904420.833999999
2059,8894581.881000001
2060,8882879.799
2061,8869366.879
2062,8854084.402
2063,8837105.291000001
2064,8818505.962000001
2065,8798353.19
2066,8776697.842
2067,8753578.548
2068,8729031.52
2069,8703086.312
2070,8675770.145
2071,8647116.507000001
2072,8617152.734
2073,8585888.227
2074,8553324.508
2075,8519467.311
2076,8484339.902999999
2077,8447965.417000001
2078,8410348.277999999
2079,8371489.34
2080,8331396.788
2081,8290088.158
2082,8247595.0879999995
2083,8203957.958
2084,8159225.283
2085,8113441.407000001
2086,8066637.826
2087,8018841.517999999
2088,7970086.741
2089,7920408.477000001
2090,7869840.227999999
2091,7818414.8270000005
2092,7766163.658
2093,7713118.271000001
2094,7659308.582
2095,7604765.476
2096,7549519.239
2097,7493600.581
2098,7437040.203
2099,7379868.607000001
2100,7322116.481000001
