dayOfYear,dN,datetime
32,1.66667,2020-02-01
33,1.66667,2020-02-02
34,1.33333,2020-02-03
35,0.66667,2020-02-04
36,0.33333,2020-02-05
37,0.66667,2020-02-06
38,1.0,2020-02-07
39,0.66667,2020-02-08
40,0.33333,2020-02-09
41,0.0,2020-02-10
42,0.0,2020-02-11
43,0.0,2020-02-12
44,0.0,2020-02-13
45,0.33333,2020-02-14
46,0.33333,2020-02-15
47,0.33333,2020-02-16
48,0.0,2020-02-17
49,0.0,2020-02-18
50,0.0,2020-02-19
51,0.0,2020-02-20
52,0.66667,2020-02-21
53,2.0,2020-02-22
54,2.33333,2020-02-23
55,1.66667,2020-02-24
56,0.33333,2020-02-25
57,0.0,2020-02-26
58,0.33333,2020-02-27
59,0.33333,2020-02-28
60,1.0,2020-02-29
61,1.0,2020-03-01
62,2.0,2020-03-02
63,2.66667,2020-03-03
64,5.0,2020-03-04
65,7.66667,2020-03-05
66,8.66667,2020-03-06
67,7.33333,2020-03-07
68,7.33333,2020-03-08
69,7.0,2020-03-09
70,12.33333,2020-03-10
71,12.66667,2020-03-11
72,15.333329999999998,2020-03-12
73,18.66667,2020-03-13
74,28.33333,2020-03-14
75,41.0,2020-03-15
76,47.33333,2020-03-16
77,59.333330000000004,2020-03-17
78,68.33333,2020-03-18
79,89.0,2020-03-19
80,111.33333,2020-03-20
81,140.0,2020-03-21
82,177.66666999999998,2020-03-22
83,333.33333,2020-03-23
84,316.33333,2020-03-24
85,441.66667,2020-03-25
86,363.33333,2020-03-26
87,447.66667,2020-03-27
88,318.33333,2020-03-28
89,336.66667,2020-03-29
90,309.0,2020-03-30
91,393.0,2020-03-31
92,299.33333,2020-04-01
93,294.33333,2020-04-02
94,222.33333,2020-04-03
95,280.33333,2020-04-04
96,237.0,2020-04-05
97,173.33333000000002,2020-04-06
98,98.66667,2020-04-07
99,89.66667,2020-04-08
100,102.66667,2020-04-09
101,102.66667,2020-04-10
102,94.0,2020-04-11
103,79.0,2020-04-12
104,56.666669999999996,2020-04-13
105,42.66667,2020-04-14
106,42.33333,2020-04-15
107,45.33333,2020-04-16
108,43.66667,2020-04-17
109,39.0,2020-04-18
110,42.66667,2020-04-19
111,38.33333,2020-04-20
112,30.66667,2020-04-21
113,20.33333,2020-04-22
114,14.0,2020-04-23
115,14.0,2020-04-24
116,13.333329999999998,2020-04-25
117,16.33333,2020-04-26
118,15.333329999999998,2020-04-27
119,12.66667,2020-04-28
120,11.66667,2020-04-29
121,11.0,2020-04-30
122,12.33333,2020-05-01
123,9.66667,2020-05-02
124,12.33333,2020-05-03
125,13.0,2020-05-04
126,19.33333,2020-05-05
127,22.0,2020-05-06
128,24.66667,2020-05-07
129,23.66667,2020-05-08
130,21.66667,2020-05-09
131,18.0,2020-05-10
132,15.0,2020-05-11
133,11.33333,2020-05-12
134,11.66667,2020-05-13
135,11.33333,2020-05-14
136,13.666670000000002,2020-05-15
137,18.33333,2020-05-16
138,20.33333,2020-05-17
139,18.66667,2020-05-18
140,13.666670000000002,2020-05-19
141,10.66667,2020-05-20
142,11.33333,2020-05-21
143,7.0,2020-05-22
144,9.0,2020-05-23
145,9.0,2020-05-24
146,9.33333,2020-05-25
147,7.66667,2020-05-26
148,9.0,2020-05-27
149,10.0,2020-05-28
150,10.66667,2020-05-29
151,13.333329999999998,2020-05-30
152,15.333329999999998,2020-05-31
153,15.0,2020-06-01
154,10.33333,2020-06-02
155,12.0,2020-06-03
156,11.33333,2020-06-04
157,12.0,2020-06-05
158,10.0,2020-06-06
159,8.66667,2020-06-07
160,6.66667,2020-06-08
161,4.66667,2020-06-09
162,4.0,2020-06-10
163,5.33333,2020-06-11
164,6.66667,2020-06-12
165,7.66667,2020-06-13
166,8.66667,2020-06-14
167,11.66667,2020-06-15
168,15.0,2020-06-16
169,15.0,2020-06-17
170,16.66667,2020-06-18
171,18.66667,2020-06-19
172,20.66667,2020-06-20
173,22.0,2020-06-21
174,23.33333,2020-06-22
175,21.66667,2020-06-23
176,18.66667,2020-06-24
177,20.0,2020-06-25
178,28.0,2020-06-26
179,34.33333,2020-06-27
180,40.0,2020-06-28
181,42.66667,2020-06-29
182,57.333330000000004,2020-06-30
