RE or Non-RE,Group Technology,Year,Sum of Electricity Installed Capacity (MW),Sum of Electricity Generation (GWh),Sum of Heat Generation (TJ),Sum of Public Flows (2021 USD M),Sum of SDG 7a1 Intl. Public Flows (2021 USD M)
Total Renewable,Hydropower (excl. Pumped Storage),2000,696580.424,2614567.101,,427.9739497,427.34
Total Renewable,Hydropower (excl. Pumped Storage),2001,709694.939,2551854.876,,1140.607682,1138.8
Total Renewable,Hydropower (excl. Pumped Storage),2002,720965.042,2620288.918,,1917.021728,749.13
Total Renewable,Hydropower (excl. Pumped Storage),2003,741794.239,2620700.015,,4137.771894,2158.48
Total Renewable,Hydropower (excl. Pumped Storage),2004,762444.136,2797291.386,,2698.728272,1163.95
Total Renewable,Hydropower (excl. Pumped Storage),2005,784837.165,2912745.737,,1849.944487,1451.43
Total Renewable,Hydropower (excl. Pumped Storage),2006,806594.591,3024562.805,,3198.188079,2530.14
Total Renewable,Hydropower (excl. Pumped Storage),2007,833796.431,3062050.488,,5998.112264,3633.52
Total Renewable,Hydropower (excl. Pumped Storage),2008,862593.86,3208968.836,,6014.119319,2547.55
Total Renewable,Hydropower (excl. Pumped Storage),2009,892389.77,3261426.234,,9386.993543,1697.23
Total Renewable,Hydropower (excl. Pumped Storage),2010,925870.202,3428368.364,,6703.367245,5659.4
Total Renewable,Hydropower (excl. Pumped Storage),2011,953932.122,3493733.002,,10012.34233,6834.03
Total Renewable,Hydropower (excl. Pumped Storage),2012,984707.879,3680086.858,,12973.66852,4145.11
Total Renewable,Hydropower (excl. Pumped Storage),2013,1029604.456,3789850.269,,7157.623746,5958.48
Total Renewable,Hydropower (excl. Pumped Storage),2014,1067333.757,3893169.49,,8861.343291,7607.91
Total Renewable,Hydropower (excl. Pumped Storage),2015,1099508.168,3894991.982,,4857.011119,4280.54
Total Renewable,Hydropower (excl. Pumped Storage),2016,1130044.91,4037459.337,,10643.42792,9484.91
Total Renewable,Hydropower (excl. Pumped Storage),2017,1151057.558,4087703.667,,8920.884208,8714.41
Total Renewable,Hydropower (excl. Pumped Storage),2018,1173784.122,4208483.364,,6791.352884,5639.73
Total Renewable,Hydropower (excl. Pumped Storage),2019,1192480.654,4253382.819,,1713.149982,1424.02
Total Renewable,Hydropower (excl. Pumped Storage),2020,1212866.153,4369055.003,,2768.436796,2258.17
Total Renewable,Hydropower (excl. Pumped Storage),2021,1235192.884,4296551.037,,2122.782036,1877.84
Total Renewable,Hydropower (excl. Pumped Storage),2022,1258170.03,4330106.893,,1061.087125,1055.62
Total Renewable,Hydropower (excl. Pumped Storage),2023,1264741.54,,,,
