YEAR_AD,POP_M
1,285
200,223
400,198
500,198
600,203
700,208.5
800,222
900,233
1000,299.5
1100,310.5
1200,405
1250,408
1300,396
1340,443
1400,362
1500,482.5
1600,562
1650,507.5
1700,639.5
1750,795
1800,969
1850,1265
1900,1656
1910,1750
1920,1860
1930,2070
1940,2300
1950,2536.274721
1951,2583.816786
1952,2630.584384
1953,2677.230358
1954,2724.302468
1955,2772.242535
1956,2821.383444
1957,2871.952278
1958,2924.081243
1959,2977.824686
1960,3033.212527
1961,3090.305279
1962,3149.244245
1963,3210.271352
1964,3273.670772
1965,3339.592688
1966,3408.121405
1967,3479.053821
1968,3551.8807
1969,3625.905514
1970,3700.57765
1971,3775.7909
1972,3851.545181
1973,3927.538695
1974,4003.448151
1975,4079.087198
1976,4154.287594
1977,4229.201257
1978,4304.377112
1979,4380.585755
1980,4458.411534
1981,4537.845777
1982,4618.776168
1983,4701.530843
1984,4786.483862
1985,4873.781796
1986,4963.633228
1987,5055.636132
1988,5148.556956
1989,5240.735117
1990,5330.94346
1991,5418.758803
1992,5504.401149
1993,5588.094837
1994,5670.319703
1995,5751.474416
1996,5831.56502
1997,5910.566295
1998,5988.846103
1999,6066.867391
2000,6145.006989
2001,6223.412158
2002,6302.149639
2003,6381.408987
2004,6461.370865
2005,6542.159383
2006,6623.847913
2007,6706.418593
2008,6789.771253
2009,6873.741054
2010,6956.823588
2011,7041.194168
2012,7125.827957
2013,7210.582041
2014,7295.290759
2015,7379.796967
2016,7464.021934
2017,7547.8589
2018,7631.091113
2019,7713.468205
